#id	length	evalue	coverge	probability	score
TE_00003717_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	1.3e-16	100.0	0.87	54.3
TE_00003724_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	93	1.8e-11	83.3	0.91	38.1
TE_00003724_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	3.5e-26	100.0	0.99	85.2
TE_00003724_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.7e-77	100.0	0.96	253.2
TE_00003724_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	72	1.1e-21	27.2	0.98	70.8
TE_00003724_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	99	1.4e-43	74.8	0.96	141.7
TE_00003729_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	97	3.1e-41	37.0	0.99	134.9
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	70	3.7e-21	59.0	0.97	69.6
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.8e-26	100.0	1.0	85.3
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	50	2.9e-30	27.7	0.94	98.9
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	7.8e-65	100.0	1.0	211.2
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	126	1.9e-53	39.0	0.99	174.9
TE_00003742_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	7.4e-22	97.4	0.93	71.2
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.3e-35	100.0	0.99	116.1
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	7.3e-20	100.0	0.98	64.8
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	168	3e-75	94.8	0.98	245.4
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	138	7.7e-51	82.1	0.97	165.8
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	154	9.1e-72	49.7	0.99	235.1
TE_00003750_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	42	2.9e-10	55.8	0.9	34.0
TE_00003773_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	5e-22	100.0	0.98	71.5
TE_00003773_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	249	9e-103	100.0	0.98	336.6
TE_00003773_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	2.2e-49	99.2	0.99	160.2
TE_00003779_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	36	2.9e-10	29.8	0.98	34.0
TE_00003795_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	69	9.7e-25	20.3	0.95	81.2
TE_00003799_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	84	2.6e-21	24.1	0.96	70.0
TE_00003801_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-PROT	76	9.7e-31	100.0	0.99	99.5
TE_00003801_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RT	177	2.8e-94	100.0	0.99	307.3
TE_00003801_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	150	7.3e-64	99.3	0.99	207.8
TE_00003801_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	318	1.8e-157	100.0	1.0	517.2
TE_00003830_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	49	2.2e-05	32.5	0.88	18.7
TE_00003859_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	190	4.9e-68	58.2	0.98	223.4
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	4.8e-34	100.0	0.98	111.1
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	6.4e-21	100.0	0.99	68.1
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	7.7e-87	100.0	1.0	283.1
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	8.7e-66	100.0	1.0	214.3
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	1.8e-152	100.0	1.0	500.1
TE_00003861_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	5.3e-23	97.4	0.93	74.8
TE_00003866_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	44	9.9e-24	25.4	0.99	77.7
TE_00003887_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	44	8.2e-08	60.0	0.97	26.4
TE_00003887_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	27	8.3e-09	32.5	0.95	29.1
TE_00003889_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	2.2e-24	87.0	0.93	79.1
TE_00003889_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	119	3.3e-62	67.6	0.98	203.0
TE_00003892_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	1.9e-35	98.7	0.99	114.5
TE_00003910_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	101	4.2e-44	33.5	0.96	144.2
TE_00003910_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	32	3.5e-14	25.2	0.99	46.7
TE_00003938_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	2.7e-25	100.0	0.94	82.5
TE_00003943_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	80	1e-12	76.7	0.95	42.0
TE_00003943_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	65	7.6e-18	83.1	0.94	58.5
TE_00003943_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	109	3.6e-37	50.5	0.96	121.5
TE_00003943_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	1.8e-115	100.0	0.98	378.2
TE_00003943_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2.2e-55	100.0	0.99	179.8
TE_00003953_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	94	4.9e-24	96.8	0.95	78.2
TE_00003974_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	1.1e-18	100.0	0.91	61.2
TE_00003974_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	63	1.1e-14	30.9	0.89	48.2
TE_00003982_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	127	3.1e-42	99.2	0.97	137.2
TE_00003982_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	24	5.1e-05	25.3	0.92	17.5
TE_00004003_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	48	2.1e-09	45.2	0.93	31.3
TE_00004013_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	58	0.00041	58.4	0.88	14.1
TE_00004019_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	39	1.7e-08	30.3	0.94	28.2
TE_00004029_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	1.6e-23	100.0	0.98	76.8
TE_00004031_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	61	1.7e-10	29.9	0.83	34.5
TE_00004031_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	7.4e-17	100.0	0.92	55.4
TE_00004033_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	40	5.6e-12	30.8	0.98	39.6
TE_00004039_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	1.5e-30	99.2	0.96	99.5
TE_00004043_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	62	2.3e-20	25.3	0.96	66.9
TE_00004046_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-GAG	38	9.3e-06	26.0	0.86	19.3
TE_00004054_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	121	2.3e-31	100.0	0.97	102.1
TE_00004054_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	198	6.9e-40	52.4	0.91	131.0
TE_00004059_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	70	3.5e-24	44.8	0.96	79.3
TE_00004071_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	7.3e-18	100.0	0.98	58.6
TE_00004071_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	3.4e-27	98.6	0.98	88.5
TE_00004071_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	104	8e-43	53.6	0.99	140.0
TE_00004071_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	1.1e-122	100.0	0.99	401.8
TE_00004071_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	5.6e-61	100.0	0.99	197.9
TE_00004073_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	103	7.7e-14	100.0	0.83	45.7
TE_00004073_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	69	1.7e-22	100.0	0.98	73.4
TE_00004073_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	99	1.6e-43	49.5	0.99	142.3
TE_00004073_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	120	6.8e-43	44.4	0.96	140.3
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	5.7e-31	100.0	0.97	101.2
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	6.2e-22	100.0	0.99	71.4
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.5e-78	96.5	0.98	256.1
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	129	1.7e-49	87.6	0.98	161.4
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	139	1.5e-57	44.5	0.99	188.4
TE_00004085_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	8e-19	98.7	0.93	61.4
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	4.2e-30	100.0	0.97	98.4
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	6.7e-25	100.0	0.99	80.9
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	3.5e-84	100.0	1.0	274.4
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	7.8e-63	100.0	0.99	204.7
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	159	1.8e-74	50.6	0.99	243.9
TE_00004088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	1.2e-21	98.7	0.93	70.5
TE_00004104_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	104	2e-23	84.6	0.97	76.8
TE_00004104_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	8.7e-26	100.0	0.99	83.7
TE_00004104_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	2.1e-59	100.0	0.99	193.5
TE_00004104_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	122	2.4e-57	39.0	0.99	187.7
TE_00004104_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	4.4e-20	98.7	0.93	65.5
TE_00004116_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	95	5.8e-28	100.0	0.96	90.7
TE_00004116_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	69	3.4e-27	100.0	0.99	88.3
TE_00004116_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	60	1.2e-12	27.9	0.94	41.4
TE_00004119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-PROT	76	5.2e-32	100.0	0.99	103.5
TE_00004119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RT	160	2.2e-84	89.8	0.99	275.0
TE_00004119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	142	1.7e-59	92.1	0.99	193.7
TE_00004119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	158	3.5e-89	47.2	0.97	292.9
TE_00004152_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	55	5.9e-17	29.9	0.97	55.5
TE_00004160_INT#LTR/unknown|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	72	1.9e-06	32.3	0.85	21.2
TE_00004168_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	85	5.9e-24	43.1	0.95	78.3
TE_00004169_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	33	1.3e-05	23.4	0.92	18.9
TE_00004193_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	137	1.5e-32	35.7	0.9	106.9
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	2e-34	100.0	0.99	112.4
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	7.3e-20	100.0	0.97	64.8
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	65	2.8e-30	37.6	0.98	99.0
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	109	8e-31	55.9	0.92	100.9
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	3.2e-146	100.0	0.99	479.6
TE_00004196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	4.9e-20	98.7	0.94	65.3
TE_00004201_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	1.6e-20	100.0	0.98	67.1
TE_00004201_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	9.3e-27	100.0	0.98	87.1
TE_00004201_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	3e-76	100.0	0.96	249.1
TE_00004201_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	95	1.2e-40	36.6	0.99	133.0
TE_00004201_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.6e-59	100.0	0.98	193.2
TE_00004209_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.5e-22	100.0	0.96	72.5
TE_00004209_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	2.7e-110	99.6	0.98	361.3
TE_00004209_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	126	1.4e-54	100.0	0.98	177.1
TE_00004219_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RT	62	7e-26	34.1	0.97	84.5
TE_00004219_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-aRH	54	1.1e-22	44.3	0.98	73.9
TE_00004219_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	309	6.3e-138	97.2	0.99	453.0
TE_00004224_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-GAG	81	6.6e-30	87.8	0.98	97.1
TE_00004224_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	1.6e-24	98.6	0.99	79.1
TE_00004224_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-INT	201	3.6e-94	100.0	0.99	307.7
TE_00004224_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RT	260	7.2e-131	100.0	0.99	429.0
TE_00004224_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	133	8e-56	100.0	0.99	180.9
TE_00004231_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	83	3.5e-32	64.5	0.97	104.7
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	2.4e-24	100.0	0.95	79.9
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3.2e-24	100.0	0.99	78.7
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	172	8.4e-81	100.0	0.99	263.5
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	5.4e-54	100.0	1.0	176.0
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	212	2.2e-80	64.6	0.97	263.4
TE_00004232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	69	1.3e-18	97.4	0.94	60.8
TE_00004254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	9.8e-31	100.0	0.98	100.4
TE_00004254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.2e-27	100.0	1.0	88.9
TE_00004254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	49	6.5e-25	27.2	0.93	81.5
TE_00004254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.3e-56	100.0	0.98	184.5
TE_00004254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	8e-18	97.4	0.92	58.3
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	3.1e-32	100.0	0.96	105.3
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.2e-24	100.0	0.99	79.3
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	5.4e-88	100.0	1.0	286.9
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	96	1.1e-32	55.2	0.95	106.9
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	144	5e-67	45.1	0.99	219.5
TE_00004264_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	5.4e-23	98.7	0.95	74.8
TE_00004266_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	87	2.9e-12	96.7	0.87	40.6
TE_00004266_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	70	4e-19	100.0	0.91	62.6
TE_00004266_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	4.9e-69	100.0	0.98	225.5
TE_00004266_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	1.8e-108	100.0	0.99	355.2
TE_00004266_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	114	1.9e-53	89.0	0.96	173.6
TE_00004273_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	49	1.1e-14	27.0	0.97	48.1
TE_00004316_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	45	4.2e-11	56.0	0.95	37.0
TE_00004332_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	4.8e-31	100.0	1.0	100.0
TE_00004352_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	93	8.2e-30	98.9	0.98	96.7
TE_00004361_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	2.1e-25	98.6	0.99	81.9
TE_00004361_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-INT	201	7.9e-108	100.0	0.99	352.3
TE_00004361_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RT	260	9.8e-142	100.0	0.99	464.6
TE_00004361_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	133	9.3e-70	100.0	1.0	226.0
TE_00004381_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	42	1.3e-08	28.1	0.94	28.7
TE_00004392_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	83	6.2e-28	24.7	0.94	91.1
TE_00004392_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	1.9e-23	97.4	0.92	76.3
TE_00004409_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	47	7.5e-07	52.7	0.91	23.1
TE_00004412_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	75	2.2e-39	42.2	0.98	128.6
TE_00004419_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	56	6.5e-47	21.1	0.94	153.8
TE_00004419_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	242	1.7e-68	74.9	0.94	224.9
TE_00004443_LTR#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	23	1.2e-05	33.3	0.9	19.4
TE_00004451_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	98	1.3e-22	45.9	0.89	74.1
TE_00004451_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	70	4.5e-16	100.0	0.92	52.8
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	1.3e-29	100.0	0.96	96.8
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	7.1e-25	100.0	0.99	80.8
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.3e-79	100.0	0.99	259.6
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	144	9.2e-61	98.6	0.99	198.0
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	3e-118	98.4	0.98	387.8
TE_00004452_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	1.1e-15	100.0	0.89	51.5
TE_00004471_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	78	2.8e-18	24.9	0.94	60.1
TE_00004471_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	189	5.6e-53	59.8	0.95	174.0
TE_00004486_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	80	2.6e-12	83.3	0.95	40.8
TE_00004486_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	4.4e-19	100.0	0.94	62.5
TE_00004486_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	70	5.8e-15	32.5	0.88	49.1
TE_00004487_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	125	3.6e-46	100.0	0.97	149.9
