#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00003536_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003545_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RH|Ale
TE_00003546_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00003594_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00003599_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00003600_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	-	RH|Ogre
TE_00003608_INT#LTR/unknown	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00003615_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00003616_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00003621_INT#LTR/Copia	LTR	Gypsy	Reina	no	-	CHD|Reina
TE_00003624_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay
TE_00003640_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand
TE_00003642_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003644_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00003647_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00003653_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00003670_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003675_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00003700_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00003714_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE PROT|SIRE
TE_00003717_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003724_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003729_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale
TE_00003742_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003750_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003773_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00003779_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00003795_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00003799_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00003801_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00003830_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	GAG|Reina
TE_00003859_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00003861_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00003866_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay
TE_00003887_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00003889_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	RT|Tekay CHD|Tekay
TE_00003892_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00003910_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00003938_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00003943_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00003953_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00003974_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00003982_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00004003_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00004013_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00004019_INT#LTR/unknown	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00004029_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00004031_INT#LTR/Copia	LTR	Copia	Ale	no	-	PROT|Ale INT|Ale
TE_00004033_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00004039_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00004043_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00004046_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	GAG|Ogre
TE_00004054_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00004059_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RH|Reina
TE_00004071_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00004073_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RT|Ale
TE_00004085_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004088_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004104_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004116_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE PROT|SIRE INT|SIRE
TE_00004119_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00004152_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00004160_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00004168_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00004169_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00004193_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00004196_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004201_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00004209_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00004219_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	RT|Ogre aRH|Ogre INT|Ogre
TE_00004224_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00004231_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00004232_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004254_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00004264_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004266_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00004273_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00004316_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00004332_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca
TE_00004352_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00004361_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00004381_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00004392_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina CHD|Reina
TE_00004409_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	PROT|Reina
TE_00004412_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RT|Reina
TE_00004419_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00004443_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00004451_INT#LTR/Copia	LTR	Copia	Ale	no	-	PROT|Ale INT|Ale
TE_00004452_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004471_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00004486_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00004487_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00004488_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00004489_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00004504_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand RT|Retand INT|Retand
TE_00004519_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	RH|Ogre
TE_00004529_INT#LTR/unknown	LTR	Copia	Angela	no	+	RH|Angela
TE_00004532_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	RT|CRM RH|CRM INT|CRM CHDCR|CRM
TE_00004554_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00004572_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004574_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00004575_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00004585_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00004619_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00004623_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00004632_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004633_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00004644_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00004646_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00004659_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand INT|Retand
TE_00004666_INT#LTR/Copia	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004668_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00004681_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004695_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00004700_INT#LTR/unknown	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00004719_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00004729_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00004750_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00004762_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00004773_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale RT|Ale
TE_00004779_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand RH|Retand
TE_00004788_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina
TE_00004809_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale
TE_00004816_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00004823_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00004834_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand INT|Retand
TE_00004835_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00004836_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00004840_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00004841_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00004857_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00004880_INT#LTR/unknown	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00004883_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00004888_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00004925_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00004927_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00004935_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	GAG|Reina
TE_00004953_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00005011_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale INT|Ale
TE_00005013_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00005023_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00005027_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005041_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00005049_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005051_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00005053_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00005067_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand GAG|TatIII
TE_00005073_INT#LTR/unknown	LTR	Copia	Ale	no	+	PROT|Ale RH|Ale
TE_00005078_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005079_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale
TE_00005086_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005088_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00005092_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00005098_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00005117_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00005121_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand RH|Retand
TE_00005128_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00005140_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005141_INT#LTR/unknown	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00005166_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00005216_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00005227_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00005228_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00005233_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00005248_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005266_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00005277_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00005298_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005301_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	-	RH|Ogre
TE_00005305_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00005321_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00005329_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00005355_INT#LTR/Copia	LTR	Copia	Angela	no	+	GAG|Angela PROT|Angela INT|Angela RH|Angela
TE_00005356_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00005364_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand INT|Retand
TE_00005366_INT#LTR/unknown	LTR	Copia	Ale	no	+	INT|Ale
TE_00005378_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand aRH|Retand INT|Retand
TE_00005391_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00005417_INT#LTR/Copia	LTR	Copia	Angela	no	+	RH|Angela
TE_00005450_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00005465_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	-	RT|CRM
TE_00005490_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005502_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	-	aRH|TatII
TE_00005512_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005516_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00005523_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005526_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RH|Retand INT|Retand
TE_00005529_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005538_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005539_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00005557_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina
TE_00005591_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00005594_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00005598_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00005602_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00005606_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005618_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM RT|CRM
TE_00005628_INT#LTR/unknown	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005637_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005643_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00005651_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00005652_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00005655_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005680_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00005684_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00005690_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00005699_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00005753_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005765_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00005781_INT#LTR/Copia	LTR	Copia	Bianca	yes	+	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00005790_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00005794_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00005815_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00005818_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00005827_INT#LTR/unknown	LTR	Copia	Bianca	no	-	RH|Bianca
TE_00005831_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00005835_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00005842_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005845_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00005852_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00005866_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005869_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00005871_LTR#LTR/Copia	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00005879_LTR#LTR/Copia	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00005882_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00005892_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00005898_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00005899_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00005910_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00005913_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana
TE_00005936_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00005955_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00005975_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00005992_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RH|Ivana
TE_00005997_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00006002_LTR#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana INT|Ivana
TE_00006005_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00006019_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00006021_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006024_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006029_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006039_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RT|Ivana RH|Ivana
TE_00006046_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006050_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006071_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00006099_LTR#LTR/unknown	LTR	Copia	SIRE	no	-	RH|SIRE
TE_00006104_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00006111_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006117_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00006129_INT#LTR/unknown	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00006150_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006174_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006198_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00006203_INT#LTR/Gypsy	LTR	Gypsy	TatII	no	+	aRH|TatII
TE_00006204_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00006210_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
