sample_id,sample_download_link,sample_tissue,sample_project_number,sample_description
SRR13178443,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/043/SRR13178443/SRR13178443.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178444,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/044/SRR13178444/SRR13178444.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178445,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/045/SRR13178445/SRR13178445.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178446,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/046/SRR13178446/SRR13178446.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178447,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/047/SRR13178447/SRR13178447.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178448,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/048/SRR13178448/SRR13178448.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178449,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/049/SRR13178449/SRR13178449.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178450,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/050/SRR13178450/SRR13178450.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178451,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/051/SRR13178451/SRR13178451.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178452,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/052/SRR13178452/SRR13178452.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178453,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/053/SRR13178453/SRR13178453.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178454,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/054/SRR13178454/SRR13178454.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178455,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/055/SRR13178455/SRR13178455.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178456,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/056/SRR13178456/SRR13178456.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178457,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/057/SRR13178457/SRR13178457.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178458,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/058/SRR13178458/SRR13178458.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178459,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/059/SRR13178459/SRR13178459.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178460,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/060/SRR13178460/SRR13178460.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178461,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/061/SRR13178461/SRR13178461.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178462,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/062/SRR13178462/SRR13178462.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178463,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/063/SRR13178463/SRR13178463.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178464,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/064/SRR13178464/SRR13178464.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178465,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/065/SRR13178465/SRR13178465.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178466,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/066/SRR13178466/SRR13178466.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178467,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/067/SRR13178467/SRR13178467.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178468,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/068/SRR13178468/SRR13178468.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178469,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/069/SRR13178469/SRR13178469.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13178470,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/070/SRR13178470/SRR13178470.fastq.gz,root,PRJNA681934,This sample has been submitted by pda|szhou357 on 2020-12-03; Zea mays
SRR13161338,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/038/SRR13161338/SRR13161338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/038/SRR13161338/SRR13161338_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 1 of A350 at DAP39 stage
SRR13161339,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/039/SRR13161339/SRR13161339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/039/SRR13161339/SRR13161339_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 3 of A350 at DAP15 stage
SRR13161340,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/040/SRR13161340/SRR13161340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/040/SRR13161340/SRR13161340_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 2 of A350 at DAP15 stage
SRR13161341,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/041/SRR13161341/SRR13161341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/041/SRR13161341/SRR13161341_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 1 of A350 at DAP15 stage
SRR13161342,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/042/SRR13161342/SRR13161342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/042/SRR13161342/SRR13161342_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 3 of AJ525 at DAP39 stage
SRR13161343,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/043/SRR13161343/SRR13161343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/043/SRR13161343/SRR13161343_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 2 of AJ525 at DAP39 stage
SRR13161344,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/044/SRR13161344/SRR13161344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/044/SRR13161344/SRR13161344_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 1 of AJ525 at DAP39 stage
SRR13161345,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/045/SRR13161345/SRR13161345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/045/SRR13161345/SRR13161345_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 3 of AJ525 at DAP15 stage
SRR13161346,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/046/SRR13161346/SRR13161346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/046/SRR13161346/SRR13161346_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 3 of A350 at DAP39 stage
SRR13161347,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/047/SRR13161347/SRR13161347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/047/SRR13161347/SRR13161347_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 2 of A350 at DAP39 stage
SRR13161348,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/048/SRR13161348/SRR13161348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/048/SRR13161348/SRR13161348_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 2 of AJ525 at DAP15 stage
SRR13161349,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/049/SRR13161349/SRR13161349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/049/SRR13161349/SRR13161349_2.fastq.gz,seed,PRJNA681326,Transcriptome biological replicate 1 of AJ525 at DAP15 stage
SRR13108019,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/019/SRR13108019/SRR13108019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/019/SRR13108019/SRR13108019_2.fastq.gz,leaf,PRJNA680211,Zea mays Jing724 and Jing2418 F2 population for BSR-seq
SRR13108020,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/020/SRR13108020/SRR13108020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/020/SRR13108020/SRR13108020_2.fastq.gz,leaf,PRJNA680211,Zea mays Jing724 and Jing2418 F2 population for BSR-seq
SRR13108021,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/021/SRR13108021/SRR13108021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/021/SRR13108021/SRR13108021_2.fastq.gz,leaf,PRJNA680211,Zea mays Jing2416 and Jing2418 F2  population for BSR-seq
SRR13108022,ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/022/SRR13108022/SRR13108022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/022/SRR13108022/SRR13108022_2.fastq.gz,leaf,PRJNA680211,Zea mays Jing2416 and Jing2418 F2  population for BSR-seq
SRR13019224,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/024/SRR13019224/SRR13019224.fastq.gz,leaf,PRJNA675860,WT_Leaf_RepB
SRR13019225,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/025/SRR13019225/SRR13019225.fastq.gz,leaf,PRJNA675860,WT_Leaf_RepA
SRR13019226,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/026/SRR13019226/SRR13019226.fastq.gz,tassel,PRJNA675860,Mut_Tassel_RepA
SRR13019227,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/027/SRR13019227/SRR13019227.fastq.gz,tassel,PRJNA675860,WT_Tassel_RepC
SRR13019228,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/028/SRR13019228/SRR13019228.fastq.gz,tassel,PRJNA675860,WT_Tassel_RepB
SRR13019229,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/029/SRR13019229/SRR13019229.fastq.gz,leaf,PRJNA675860,Mut_Leaf_RepC
SRR13019230,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/030/SRR13019230/SRR13019230.fastq.gz,leaf,PRJNA675860,Mut_Leaf_RepA
SRR13019231,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13019231/SRR13019231.fastq.gz,tassel,PRJNA675860,Mut_Tassel_RepC
SRR13019232,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13019232/SRR13019232.fastq.gz,tassel,PRJNA675860,Mut_Tassel_RepB
SRR13019233,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/033/SRR13019233/SRR13019233.fastq.gz,leaf,PRJNA675860,WT_Leaf_RepC
SRR13019234,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/034/SRR13019234/SRR13019234.fastq.gz,leaf,PRJNA675860,Mut_Leaf_RepB
SRR13019235,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/035/SRR13019235/SRR13019235.fastq.gz,tassel,PRJNA675860,WT_Tassel_RepA
SRR13791440,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/040/SRR13791440/SRR13791440.fastq.gz,leaf,PRJNA705177,E_W22_31R1 (reanalysis)
SRR13791441,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/041/SRR13791441/SRR13791441.fastq.gz,leaf,PRJNA705177,E_W22_31R2 (reanalysis)
SRR13791442,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/042/SRR13791442/SRR13791442.fastq.gz,leaf,PRJNA705177,E_W22_31R3 (reanalysis)
SRR13791443,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/043/SRR13791443/SRR13791443.fastq.gz,leaf,PRJNA705177,E_W22_33R1 (reanalysis)
SRR13791444,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/044/SRR13791444/SRR13791444.fastq.gz,leaf,PRJNA705177,E_W22_33R2 (reanalysis)
SRR13791445,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/045/SRR13791445/SRR13791445.fastq.gz,leaf,PRJNA705177,E_W22_33R3 (reanalysis)
SRR13791446,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/046/SRR13791446/SRR13791446.fastq.gz,leaf,PRJNA705177,E_W22_35R1 (reanalysis)
SRR13791447,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/047/SRR13791447/SRR13791447.fastq.gz,leaf,PRJNA705177,E_W22_35R2 (reanalysis)
SRR13791448,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/048/SRR13791448/SRR13791448.fastq.gz,leaf,PRJNA705177,E_W22_35R3 (reanalysis)
SRR13791449,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/049/SRR13791449/SRR13791449.fastq.gz,leaf,PRJNA705177,E_W22_37R1 (reanalysis)
SRR13791450,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/050/SRR13791450/SRR13791450.fastq.gz,leaf,PRJNA705177,E_W22_37R2 (reanalysis)
SRR13791451,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/051/SRR13791451/SRR13791451.fastq.gz,leaf,PRJNA705177,E_W22_37R3 (reanalysis)
SRR13791452,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/052/SRR13791452/SRR13791452.fastq.gz,leaf,PRJNA705177,L_W22_31R1 (reanalysis)
SRR13791453,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/053/SRR13791453/SRR13791453.fastq.gz,leaf,PRJNA705177,L_W22_31R2 (reanalysis)
SRR13791454,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/054/SRR13791454/SRR13791454.fastq.gz,leaf,PRJNA705177,L_W22_31R3 (reanalysis)
SRR13791455,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/055/SRR13791455/SRR13791455.fastq.gz,leaf,PRJNA705177,L_W22_33R1 (reanalysis)
SRR13791456,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/056/SRR13791456/SRR13791456.fastq.gz,leaf,PRJNA705177,L_W22_33R2 (reanalysis)
SRR13791457,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/057/SRR13791457/SRR13791457.fastq.gz,leaf,PRJNA705177,L_W22_33R3 (reanalysis)
SRR13791458,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/058/SRR13791458/SRR13791458.fastq.gz,leaf,PRJNA705177,L_W22_35R1 (reanalysis)
SRR13791459,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/059/SRR13791459/SRR13791459.fastq.gz,leaf,PRJNA705177,L_W22_35R2 (reanalysis)
SRR13791460,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/060/SRR13791460/SRR13791460.fastq.gz,leaf,PRJNA705177,L_W22_35R3 (reanalysis)
SRR13791461,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/061/SRR13791461/SRR13791461.fastq.gz,leaf,PRJNA705177,L_W22_37R1 (reanalysis)
SRR13791462,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/062/SRR13791462/SRR13791462.fastq.gz,leaf,PRJNA705177,L_W22_37R2 (reanalysis)
SRR13791463,ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/063/SRR13791463/SRR13791463.fastq.gz,leaf,PRJNA705177,L_W22_37R3 (reanalysis)
SRR2078285,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/005/SRR2078285/SRR2078285.fastq.gz,shoot,PRJNA288042,B73-shoot-1
SRR2078286,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/006/SRR2078286/SRR2078286.fastq.gz,shoot,PRJNA288042,B73-shoot-2
SRR2078287,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/007/SRR2078287/SRR2078287.fastq.gz,root,PRJNA288042,B73-root-1
SRR2078288,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/008/SRR2078288/SRR2078288.fastq.gz,root,PRJNA288042,B73-root-2
SRR2078289,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/009/SRR2078289/SRR2078289.fastq.gz,shoot,PRJNA288042,A632-shoot-1 (CAGE)
SRR2078290,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/000/SRR2078290/SRR2078290.fastq.gz,shoot,PRJNA288042,A632-shoot-2 (CAGE)
SRR2078291,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/001/SRR2078291/SRR2078291.fastq.gz,root,PRJNA288042,A632-root-1 (CAGE)
SRR2078292,ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/002/SRR2078292/SRR2078292.fastq.gz,root,PRJNA288042,A632-root-2 (CAGE)
SRR13311300,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13311300/SRR13311300.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311301,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13311301/SRR13311301.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311302,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13311302/SRR13311302.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311303,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13311303/SRR13311303.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311304,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13311304/SRR13311304.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311305,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13311305/SRR13311305.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311306,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13311306/SRR13311306.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311307,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13311307/SRR13311307.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311308,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13311308/SRR13311308.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311309,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13311309/SRR13311309.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311310,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/010/SRR13311310/SRR13311310.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311311,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/011/SRR13311311/SRR13311311.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311312,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13311312/SRR13311312.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311313,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/013/SRR13311313/SRR13311313.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311314,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13311314/SRR13311314.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311315,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/015/SRR13311315/SRR13311315.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311316,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13311316/SRR13311316.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13311317,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13311317/SRR13311317.fastq.gz,leaf,PRJNA687155,This sample has been submitted by pda|guanrbing on 2021-02-26; Zea mays
SRR13077087,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/087/SRR13077087/SRR13077087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/087/SRR13077087/SRR13077087_2.fastq.gz,kernel,PRJNA679100,This sample has been submitted by pda|ruchangren on 2020-11-19; Zea mays
SRR13077088,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/088/SRR13077088/SRR13077088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/088/SRR13077088/SRR13077088_2.fastq.gz,kernel,PRJNA679100,This sample has been submitted by pda|ruchangren on 2020-11-19; Zea mays
SRR13077089,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/089/SRR13077089/SRR13077089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/089/SRR13077089/SRR13077089_2.fastq.gz,kernel,PRJNA679100,This sample has been submitted by pda|ruchangren on 2020-11-19; Zea mays
SRR13077090,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/090/SRR13077090/SRR13077090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/090/SRR13077090/SRR13077090_2.fastq.gz,kernel,PRJNA679100,This sample has been submitted by pda|ruchangren on 2020-11-19; Zea mays
SRR13014431,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13014431/SRR13014431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13014431/SRR13014431_2.fastq.gz,leaf,PRJNA675730,CO1_3
SRR13014432,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13014432/SRR13014432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13014432/SRR13014432_2.fastq.gz,leaf,PRJNA675730,CO1_2
SRR13014433,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/033/SRR13014433/SRR13014433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/033/SRR13014433/SRR13014433_2.fastq.gz,leaf,PRJNA675730,STTM166_3
SRR13014434,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/034/SRR13014434/SRR13014434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/034/SRR13014434/SRR13014434_2.fastq.gz,leaf,PRJNA675730,STTM166_1
SRR13002210,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/010/SRR13002210/SRR13002210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/010/SRR13002210/SRR13002210_2.fastq.gz,grain,PRJNA673992,SG7_5DAF_biological_replicate_2
SRR13002211,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/011/SRR13002211/SRR13002211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/011/SRR13002211/SRR13002211_2.fastq.gz,grain,PRJNA673992,SG5_5DAF_biological_replicate_2
SRR13002212,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/012/SRR13002212/SRR13002212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/012/SRR13002212/SRR13002212_2.fastq.gz,grain,PRJNA673992,SG5_5DAF_biological_replicate_1
SRR13002213,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/013/SRR13002213/SRR13002213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/013/SRR13002213/SRR13002213_2.fastq.gz,grain,PRJNA673992,SG7_5DAF_biological_replicate_1
SRR13002214,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/014/SRR13002214/SRR13002214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/014/SRR13002214/SRR13002214_2.fastq.gz,grain,PRJNA673992,SG5_15DAF_biological_replicate_3
SRR13002215,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/015/SRR13002215/SRR13002215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/015/SRR13002215/SRR13002215_2.fastq.gz,grain,PRJNA673992,SG5_15DAF_biological_replicate_1
SRR13002216,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/016/SRR13002216/SRR13002216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/016/SRR13002216/SRR13002216_2.fastq.gz,grain,PRJNA673992,SG5_10DAF_biological_replicate_3
SRR13002217,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13002217/SRR13002217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13002217/SRR13002217_2.fastq.gz,grain,PRJNA673992,SG5_10DAF_biological_replicate_2
SRR13002218,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/018/SRR13002218/SRR13002218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/018/SRR13002218/SRR13002218_2.fastq.gz,grain,PRJNA673992,SG5_15DAF_biological_replicate_2
SRR13002219,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13002219/SRR13002219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/019/SRR13002219/SRR13002219_2.fastq.gz,grain,PRJNA673992,SG5_10DAF_biological_replicate_1
SRR13002220,ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13002220/SRR13002220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13002220/SRR13002220_2.fastq.gz,grain,PRJNA673992,SG5_5DAF_biological_replicate_3
